"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5913","Himachal Pradesh","Development of public parks","WS/MP18304/2025-2026/190264","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","28-Aug-2025","GP Pujarli 4","Payment Success","100000"
"5914","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/152607","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","09-Mar-2026","MANISHA","Payment Success","3705"
"5915","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248827","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","81000"
"5916","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248827","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","27000"
"5917","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248828","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5918","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248828","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Jul-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
"5919","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249201","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5920","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249201","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Jul-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
"5921","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249209","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","370000"
"5922","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/249209","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-Jul-2026","UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA","Payment Success","123000"
